Timestamp,Sensor1-L,Sensor2-L,Sensor3-L,Sensor4-L,Sensor5-L,Mean,Label,,,,,,,,MIN,MAX,MEAN,,MAX MEAN,MAX MAX
48:42.3,3.07684,0.66856,1.14436,0.59292,1.037,1.303936,3,,6.91496,9.32324,8.84744,9.39888,8.9548,,6.91496,9.39888,8.687864,,,
48:43.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,0,0,0,0,0,,0,0,0,,,
48:44.3,9.9918,0.29036,9.9918,0.1952,0.22692,4.139216,3,,0,9.70144,0,9.7966,9.76488,,0,9.7966,5.852584,,,
48:45.3,3.85764,9.9918,5.978,9.9918,9.9918,7.962208,3,,6.13416,0,4.0138,0,0,,0,6.13416,2.029592,,,
48:46.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,0,0,0,0,0,,0,0,0,,,
48:47.3,3.0256,0.82716,1.05652,0.76372,2.63276,1.661152,3,,6.9662,9.16464,8.93528,9.22808,7.35904,,6.9662,9.22808,8.330648,,,
48:48.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,0,0,0,0,0,,0,0,0,,,
48:49.3,3.2452,1.37372,0.81496,1.33712,7.0516,2.76452,3,,6.7466,8.61808,9.17684,8.65468,2.9402,,2.9402,9.17684,7.22728,,,
48:50.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,0,0,0,0,0,,0,0,0,,,
48:51.3,3.06708,0.854,0.976,0.72712,3.51848,1.828536,3,,6.92472,9.1378,9.0158,9.26468,6.47332,,6.47332,9.26468,8.163264,,,
48:52.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,0,0,0,0,0,,0,0,0,,,
48:53.3,3.04024,0.82228,0.976,0.74176,2.91092,1.69824,3,,6.95156,9.16952,9.0158,9.25004,7.08088,,6.95156,9.25004,8.29356,,,
48:54.3,3.16712,1.49328,1.13216,1.342,5.88772,2.604456,3,,6.82468,8.49852,8.85964,8.6498,4.10408,,4.10408,8.85964,7.387344,,,
48:55.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,0,0,0,0,0,,0,0,0,,,
48:56.3,3.13052,1.21024,0.91256,1.1468,4.51644,2.183312,3,,6.86128,8.78156,9.07924,8.845,5.47536,,5.47536,9.07924,7.808488,,,
48:57.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,0,0,0,0,0,,0,0,0,,,
48:58.3,3.50872,1.57868,1.49328,1.525,9.9918,3.619496,3,,6.48308,8.41312,8.49852,8.4668,0,,0,8.49852,6.372304,,,
48:59.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,0,0,0,0,0,,0,0,0,,,
49:00.3,3.16468,1.15168,1.04676,1.0248,5.89504,2.456592,3,,6.82712,8.84012,8.94504,8.967,4.09676,,4.09676,8.967,7.535208,,,
49:01.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,0,0,0,0,0,,0,0,0,,,
49:02.3,3.16224,1.26148,1.21268,1.12972,6.27812,2.608848,3,,6.82956,8.73032,8.77912,8.86208,3.71368,,3.71368,8.86208,7.382952,,,
49:03.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,0,0,0,0,0,,0,0,0,,,
49:04.3,3.35256,0.75396,2.47416,0.549,1.7568,1.777296,3,,6.63924,9.23784,7.51764,9.4428,8.235,,6.63924,9.4428,8.214504,,,
49:05.3,3.77712,4.2578,3.07928,7.87144,9.9918,5.795488,3,,6.21468,5.734,6.91252,2.12036,0,,0,6.91252,4.196312,,,
49:06.3,9.9918,9.9918,9.9918,3.71612,2.0862,7.155544,3,,0,0,0,6.27568,7.9056,,0,7.9056,2.836256,,,
49:07.3,5.12644,9.9918,9.9918,9.9918,9.9918,9.018728,3,,4.86536,0,0,0,0,,0,4.86536,0.973072,,,
49:08.3,2.9524,0.73688,0.976,0.63928,2.54736,1.570384,3,,7.0394,9.25492,9.0158,9.35252,7.44444,,7.0394,9.35252,8.421416,,,
49:09.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,0,0,0,0,0,,0,0,0,,,
49:10.3,2.93044,0.63928,1.33956,0.64904,1.67384,1.446432,3,,7.06136,9.35252,8.65224,9.34276,8.31796,,7.06136,9.35252,8.545368,,,
49:11.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,0,0,0,0,0,,0,0,0,,,
