Timestamp,Sensor1-L,Sensor2-L,Sensor3-L,Sensor4-L,Sensor5-L,Mean,Label,,,,,,,Mean
01:21.6,3.79908,0.28548,0.19764,0.5856,5.97312,2.168184,0,,6.19272,9.70632,9.79416,9.4062,4.01868,7.823616
01:22.6,3.66,3.38428,0.51972,5.08252,9.9918,4.527664,0,,6.3318,6.60752,9.47208,4.90928,0,5.464136
01:23.6,9.9918,0.19764,1.83488,0.0732,1.0248,2.624464,0,,0,9.79416,8.15692,9.9186,8.967,7.367336
01:24.6,4.50668,9.9918,0.60268,9.9918,9.9918,7.016952,0,,5.48512,0,9.38912,0,0,2.974848
01:25.6,9.9918,0.02684,0.85888,0.06344,0.93452,2.375096,0,,0,9.96496,9.13292,9.92836,9.05728,7.616704
01:26.6,3.93084,9.9918,0.73932,9.9918,9.9918,6.929112,0,,6.06096,0,9.25248,0,0,3.062688
01:27.6,9.9918,0,0.5734,0.03904,0.41968,2.204784,0,,0,9.9918,9.4184,9.95276,9.57212,7.787016
01:28.6,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
01:29.6,3.95036,0.15616,0.24888,0.40748,5.07032,1.96664,0,,6.04144,9.83564,9.74292,9.58432,4.92148,8.02516
01:30.6,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
01:31.6,3.19884,0.27816,0.26108,0.51972,5.6608,1.98372,0,,6.79296,9.71364,9.73072,9.47208,4.331,8.00808
01:32.6,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
01:33.6,3.38916,0.48556,0.29524,0.84668,9.0768,2.818688,0,,6.60264,9.50624,9.69656,9.14512,0.915,7.173112
01:34.6,9.9918,0.39772,9.9918,0.66368,3.36232,4.881464,0,,0,9.59408,0,9.32812,6.62948,5.110336
01:35.6,5.69008,4.91416,0.9394,4.24316,9.9918,5.15572,0,,4.30172,5.07764,9.0524,5.74864,0,4.83608
01:36.6,9.9918,0.20252,0.74176,0.29524,1.15656,2.477576,0,,0,9.78928,9.25004,9.69656,8.83524,7.514224
01:37.6,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
01:38.6,3.6478,0.21228,0.25376,0.52948,6.11464,2.151592,0,,6.344,9.77952,9.73804,9.46232,3.87716,7.840208
01:39.6,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
