Timestamp,,Sensor_Values1,,,,,,Min,Max,Mean,,Max Mean Value,Max max value
55:50.6,,6.21712,9.44768,9.58676,9.48428,8.66444,,6.21712,9.58676,8.680056,,,
55:51.6,,0,0,0,0,0,,0,0,0,,,
55:52.6,,6.08048,9.55016,9.67216,9.54528,9.0158,,6.08048,9.67216,8.772776,,,
55:53.6,,0,0,0,0,0,,0,0,0,,,
55:54.6,,6.222,9.45012,9.69168,9.44524,8.12276,,6.222,9.69168,8.58636,,,
55:55.6,,0,0,0,0,0,,0,0,0,,,
55:56.6,,6.08536,9.52332,9.64044,9.50624,8.98408,,6.08536,9.64044,8.747888,,,
55:57.6,,0,0,0,0,0,,0,0,0,,,
55:58.6,,5.68032,9.37936,9.26468,9.45988,9.14756,,5.68032,9.45988,8.58636,,,
55:59.6,,5.37044,8.49608,9.34276,8.43508,0,,0,9.34276,6.328872,,,
56:00.6,,0,7.0638,0,8.98164,8.5034,,0,8.98164,4.909768,,,
56:01.6,,5.37044,7.97636,8.8694,8.02516,0,,0,8.8694,6.048272,,,
56:02.6,,0,9.31348,8.76448,9.48672,9.4184,,0,9.48672,7.396616,,,
56:03.6,,0,0,0,0,0,,0,0,0,,,
56:04.6,,6.25128,9.38424,9.57212,9.43304,8.62052,,6.25128,9.57212,8.65224,,,
56:05.6,,0,0,0,0,0,,0,0,0,,,
56:06.7,,6.03168,9.5648,9.64776,9.53064,9.02312,,6.03168,9.64776,8.7596,,,
56:07.6,,0,0,0,0,0,,0,0,0,,,
