Timestamp,Sensor1-L,Sensor2-L,Sensor3-L,Sensor4-L,Sensor5-L,Mean,Label
57:25.0,3.13296,9.9918,2.34484,9.9918,9.9918,7.09064,1
57:26.0,9.9918,1.45912,3.67708,1.60796,1.68604,3.6844,1
57:27.0,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
57:28.0,9.9918,1.44448,2.32044,1.79584,1.65432,3.441376,1
57:29.0,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
57:30.0,9.9918,1.10044,1.28588,1.3664,1.89588,3.12808,1
57:31.0,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
57:32.0,9.9918,1.32004,8.00808,1.42984,1.4396,4.437872,1
57:33.0,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
57:34.0,9.9918,0.39528,0.51484,0.63928,0.89548,2.487336,1
57:35.0,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
57:36.0,9.9918,0.74176,0.66368,0.732,1.17852,2.661552,1
57:37.0,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
57:38.0,9.9918,1.18096,1.95932,1.34932,1.52744,3.201768,1
57:39.0,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
57:40.0,9.9918,1.1102,2.1472,1.3664,1.47132,3.217384,1
57:41.1,2.96216,9.9918,9.9918,9.9918,9.9918,8.585872,1
57:42.0,9.9918,1.24684,9.9918,1.59332,1.80316,4.925384,1
57:43.0,2.26188,1.94956,1.0614,8.3936,7.76652,4.286592,1
57:44.0,9.9918,3.46724,9.9918,4.71652,2.196,6.072672,1
57:45.0,2.05692,0.98088,0.75152,4.13092,9.03532,3.391112,1
57:46.1,9.9918,1.80072,9.9918,3.55996,2.35704,5.540264,1
57:47.0,1.52256,0.47336,0.50264,0.91744,4.17728,1.518656,1
57:48.0,9.9918,9.9918,9.9918,9.9918,4.80192,8.953824,1
57:49.1,2.11548,1.159,0.63196,2.2814,9.23052,3.083672,1
57:50.0,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
57:51.0,1.67628,0.57096,0.46116,0.87352,7.45908,2.2082,1
57:52.0,9.9918,9.9918,9.9918,9.9918,5.37532,9.068504,1
57:53.0,2.18136,0.61732,0.51484,0.7808,5.78036,1.974936,1
57:54.0,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
57:55.0,2.27164,0.60268,0.48556,1.6836,8.17644,2.643984,1
57:56.1,9.9918,0.68076,9.9918,1.7812,0.9882,4.686752,1
57:57.1,2.18624,1.01016,0.8784,1.43228,9.28908,2.959232,1
57:58.1,9.9918,1.13216,9.9918,1.40544,1.4396,4.79216,1
57:59.1,2.64008,9.9918,9.9918,9.9918,9.9918,8.521456,1
58:00.0,9.9918,1.07604,1.7812,1.33468,1.55428,3.1476,1
58:01.0,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
58:02.1,9.9918,1.05408,1.59576,1.08092,1.09068,2.962648,1
58:03.0,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
58:04.1,9.9918,1.4274,2.27896,1.59576,1.92028,3.44284,1
58:05.1,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
58:06.0,9.9918,0.63928,0.8662,0.65636,0.89548,2.609824,1
58:07.1,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
58:08.1,9.9918,0.9394,2.36924,1.06384,1.09312,3.09148,1
58:09.0,2.80356,9.9918,9.9918,9.9918,9.9918,8.554152,1
58:10.1,9.9918,0.81984,1.16632,1.13216,1.36884,2.895792,1
58:11.0,6.14636,9.9918,9.9918,9.9918,9.9918,9.222712,1
58:12.0,9.9918,1.55916,9.9918,2.05204,2.03984,5.126928,1
58:13.1,2.83284,9.9918,1.24684,9.9918,9.9918,6.811016,1
58:14.1,9.9918,1.87148,9.9918,2.82308,2.65472,5.466576,1
58:15.0,3.08416,1.49816,1.23464,2.34484,9.9918,3.63072,1
58:16.1,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
58:17.1,2.562,0.66368,0.7076,0.96136,1.34444,1.247816,1
58:18.1,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
58:19.1,9.9918,0.94672,4.15288,1.06384,1.09312,3.449672,1
58:20.1,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
58:21.1,9.9918,0.8418,1.20292,0.95892,1.02968,2.805024,1
58:22.1,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
58:23.1,9.9918,0.9638,1.21512,1.1468,1.22732,2.908968,1
58:24.1,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
58:25.1,9.9918,0.65148,0.68808,0.976,1.27856,2.717184,1
58:26.1,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
58:27.1,9.9918,1.10776,1.71776,1.42008,1.5006,3.1476,1
58:28.1,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
58:29.1,9.9918,1.11996,5.19232,1.30052,1.39568,3.800056,1
58:30.1,1.51768,7.16628,0.80032,7.07356,7.18824,4.749216,1
58:31.1,9.9918,0.915,9.9918,1.83488,1.24684,4.796064,1
58:32.1,2.80356,1.00772,0.79056,1.62748,9.9918,3.244224,1
58:33.1,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
58:34.1,2.27652,1.0004,0.69296,7.808,9.9918,4.353936,1
58:35.1,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
58:36.1,1.91052,0.34404,0.31232,0.53924,1.8056,0.982344,1
58:37.1,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
58:38.1,1.79828,0.5978,0.5246,0.93696,2.65228,1.301984,1
58:39.1,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
58:40.1,6.83932,0.47092,0.50264,0.81496,1.67872,2.061312,1
58:41.1,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
58:42.1,2.69864,0.74664,0.7564,1.13704,2.2326,1.514264,1
58:43.1,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
58:44.1,2.09108,0.57096,0.51972,0.6344,0.72956,0.909144,1
58:45.1,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
58:46.1,1.5616,0.39772,0.35136,0.5734,1.00284,0.777384,1
58:47.1,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
58:48.1,1.90564,0.62708,0.46604,1.16388,6.59776,2.15208,1
58:49.1,9.9918,1.08092,9.9918,1.89832,1.38104,4.868776,1
58:50.1,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
58:51.1,9.9918,0.52216,0.76372,0.63684,0.84424,2.551752,1
58:52.1,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
58:53.1,1.97396,0.31964,0.36356,0.48068,0.49044,0.725656,1
58:54.1,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
58:55.1,9.9918,0.53192,0.72712,0.58804,0.58804,2.485384,1
58:56.1,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
58:57.1,2.24236,0.24156,0.305,0.40504,0.68564,0.77592,1
58:58.1,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
58:59.1,9.9918,1.23708,1.84464,1.3786,1.65432,3.221288,1
59:00.1,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
59:01.1,3.66732,0.76616,1.05164,0.71248,0.75884,1.391288,1
59:02.1,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
59:03.1,9.9918,0.915,1.05408,1.2932,0.976,2.846016,1
59:04.1,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
59:05.1,9.9918,1.38104,9.9918,1.41032,1.36396,4.827784,1
59:06.1,1.20536,2.19844,0.31964,6.2342,6.22444,3.236416,1
59:07.1,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
59:08.1,1.96908,1.01992,0.79544,1.20292,4.2578,1.849032,1
59:09.1,9.9918,3.32328,9.9918,5.50464,2.33996,6.230296,1
59:10.1,2.29116,1.05408,0.7808,1.35908,2.63276,1.623576,1
59:11.1,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
59:12.1,1.9764,0.35136,0.35136,0.71492,1.21756,0.92232,1
59:13.1,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
59:14.1,2.1472,0.35868,0.40016,0.55388,0.77348,0.84668,1
59:15.1,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
59:16.1,9.9918,0.4026,1.037,0.5368,0.54168,2.501976,1
59:17.1,1.60064,0.67588,0.61488,6.67584,6.66852,3.247152,1
59:18.1,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
