Timestamp,Sensor_Labels1,Sensor_Values1,Sensor_Labels2,Sensor_Values2
43:11.6,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 1.3395599999999999, 1.21024, 1.9276, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 0.46603999999999995]"
43:12.6,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 0.08295999999999999, 3.6477999999999997, 0.93696, 0.00244]"
43:13.6,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 1.50548, 1.18096, 2.12036, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 8.31552, 9.9918]"
43:14.6,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 1.29808, 0.0]"
43:15.6,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 2.49368, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 2.83772, 9.9918]"
43:16.6,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 1.3346799999999999, 1.2078, 1.8788, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 7.349279999999999, 0.17812]"
43:17.6,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 0.02196, 9.9918, 0.6636799999999999, 0.11712]"
43:18.6,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 1.40788, 1.21756, 2.04716, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.91372, 9.9918]"
43:19.6,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 7.84704, 0.69296, 0.11712]"
43:20.6,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 1.49328, 1.16144, 3.02804, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.61116, 9.9918]"
43:21.6,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 4.56036, 4.08944, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 2.5376, 0.0]"
43:22.6,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 5.2630799999999995, 1.3663999999999998, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
43:23.6,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 2.4766, 2.6937599999999997, 3.1963999999999997, 8.19596]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 0.26352, 5.2533199999999995, 1.7202, 0.0]"
43:24.6,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 4.421279999999999, 3.40868, 4.3480799999999995, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 3.04756, 9.9918]"
43:25.6,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 1.51768, 1.3151599999999999, 1.88124, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 0.14152, 9.9918, 1.8373199999999998, 0.0]"
43:26.6,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 2.12524, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 7.268759999999999, 9.9918]"
43:27.6,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 2.7474399999999997, 2.7157199999999997, 3.55996, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 0.0732, 9.9918, 1.28832, 0.0]"
43:28.6,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 3.00608, 1.40788, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 7.439559999999999, 9.9918]"
43:29.6,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 2.53028, 9.9918, 3.7453999999999996, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 3.52092, 0.0]"
43:30.6,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 2.33752, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 3.04512, 9.9918]"
43:31.6,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 2.40584, 2.5498, 2.6327599999999998, 3.86496]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 0.19763999999999998, 9.9918, 3.82592, 0.0]"
43:32.6,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 0.51484, 9.9918]"
43:33.6,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 1.5006, 1.3371199999999999, 1.45424, 2.074]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 5.78036, 0.8296]"
43:34.6,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 0.44652, 0.35624]"
